observation_date,USRECQ,Year,Month
1911-07-01,1,1911,7
1911-10-01,1,1911,10
1912-01-01,0,1912,1
1912-04-01,0,1912,4
1912-07-01,0,1912,7
1912-10-01,0,1912,10
1913-01-01,0,1913,1
1913-04-01,1,1913,4
1913-07-01,1,1913,7
1913-10-01,1,1913,10
1914-01-01,1,1914,1
1914-04-01,1,1914,4
1914-07-01,1,1914,7
1914-10-01,1,1914,10
1915-01-01,0,1915,1
1915-04-01,0,1915,4
1915-07-01,0,1915,7
1915-10-01,0,1915,10
1916-01-01,0,1916,1
1916-04-01,0,1916,4
1916-07-01,0,1916,7
1916-10-01,0,1916,10
1917-01-01,0,1917,1
1917-04-01,0,1917,4
1917-07-01,0,1917,7
1917-10-01,0,1917,10
1918-01-01,0,1918,1
1918-04-01,0,1918,4
1918-07-01,0,1918,7
1918-10-01,1,1918,10
1919-01-01,1,1919,1
1919-04-01,0,1919,4
1919-07-01,0,1919,7
1919-10-01,0,1919,10
1920-01-01,0,1920,1
1920-04-01,1,1920,4
1920-07-01,1,1920,7
1920-10-01,1,1920,10
1921-01-01,1,1921,1
1921-04-01,1,1921,4
1921-07-01,1,1921,7
1921-10-01,0,1921,10
1922-01-01,0,1922,1
1922-04-01,0,1922,4
1922-07-01,0,1922,7
1922-10-01,0,1922,10
1923-01-01,0,1923,1
1923-04-01,0,1923,4
1923-07-01,1,1923,7
1923-10-01,1,1923,10
1924-01-01,1,1924,1
1924-04-01,1,1924,4
1924-07-01,1,1924,7
1924-10-01,0,1924,10
1925-01-01,0,1925,1
1925-04-01,0,1925,4
1925-07-01,0,1925,7
1925-10-01,0,1925,10
1926-01-01,0,1926,1
1926-04-01,0,1926,4
1926-07-01,0,1926,7
1926-10-01,1,1926,10
1927-01-01,1,1927,1
1927-04-01,1,1927,4
1927-07-01,1,1927,7
1927-10-01,1,1927,10
1928-01-01,0,1928,1
1928-04-01,0,1928,4
1928-07-01,0,1928,7
1928-10-01,0,1928,10
1929-01-01,0,1929,1
1929-04-01,0,1929,4
1929-07-01,0,1929,7
1929-10-01,1,1929,10
1930-01-01,1,1930,1
1930-04-01,1,1930,4
1930-07-01,1,1930,7
1930-10-01,1,1930,10
1931-01-01,1,1931,1
1931-04-01,1,1931,4
1931-07-01,1,1931,7
1931-10-01,1,1931,10
1932-01-01,1,1932,1
1932-04-01,1,1932,4
1932-07-01,1,1932,7
1932-10-01,1,1932,10
1933-01-01,1,1933,1
1933-04-01,0,1933,4
1933-07-01,0,1933,7
1933-10-01,0,1933,10
1934-01-01,0,1934,1
1934-04-01,0,1934,4
1934-07-01,0,1934,7
1934-10-01,0,1934,10
1935-01-01,0,1935,1
1935-04-01,0,1935,4
1935-07-01,0,1935,7
1935-10-01,0,1935,10
1936-01-01,0,1936,1
1936-04-01,0,1936,4
1936-07-01,0,1936,7
1936-10-01,0,1936,10
1937-01-01,0,1937,1
1937-04-01,0,1937,4
1937-07-01,1,1937,7
1937-10-01,1,1937,10
1938-01-01,1,1938,1
1938-04-01,1,1938,4
1938-07-01,0,1938,7
1938-10-01,0,1938,10
1939-01-01,0,1939,1
1939-04-01,0,1939,4
1939-07-01,0,1939,7
1939-10-01,0,1939,10
1940-01-01,0,1940,1
1940-04-01,0,1940,4
1940-07-01,0,1940,7
1940-10-01,0,1940,10
1941-01-01,0,1941,1
1941-04-01,0,1941,4
1941-07-01,0,1941,7
1941-10-01,0,1941,10
1942-01-01,0,1942,1
1942-04-01,0,1942,4
1942-07-01,0,1942,7
1942-10-01,0,1942,10
1943-01-01,0,1943,1
1943-04-01,0,1943,4
1943-07-01,0,1943,7
1943-10-01,0,1943,10
1944-01-01,0,1944,1
1944-04-01,0,1944,4
1944-07-01,0,1944,7
1944-10-01,0,1944,10
1945-01-01,0,1945,1
1945-04-01,1,1945,4
1945-07-01,1,1945,7
1945-10-01,1,1945,10
1946-01-01,0,1946,1
1946-04-01,0,1946,4
1946-07-01,0,1946,7
1946-10-01,0,1946,10
1947-01-01,0,1947,1
1947-04-01,0,1947,4
1947-07-01,0,1947,7
1947-10-01,0,1947,10
1948-01-01,0,1948,1
1948-04-01,0,1948,4
1948-07-01,0,1948,7
1948-10-01,0,1948,10
1949-01-01,1,1949,1
1949-04-01,1,1949,4
1949-07-01,1,1949,7
1949-10-01,1,1949,10
1950-01-01,0,1950,1
1950-04-01,0,1950,4
1950-07-01,0,1950,7
1950-10-01,0,1950,10
1951-01-01,0,1951,1
1951-04-01,0,1951,4
1951-07-01,0,1951,7
1951-10-01,0,1951,10
1952-01-01,0,1952,1
1952-04-01,0,1952,4
1952-07-01,0,1952,7
1952-10-01,0,1952,10
1953-01-01,0,1953,1
1953-04-01,0,1953,4
1953-07-01,1,1953,7
1953-10-01,1,1953,10
1954-01-01,1,1954,1
1954-04-01,1,1954,4
1954-07-01,0,1954,7
1954-10-01,0,1954,10
1955-01-01,0,1955,1
1955-04-01,0,1955,4
1955-07-01,0,1955,7
1955-10-01,0,1955,10
1956-01-01,0,1956,1
1956-04-01,0,1956,4
1956-07-01,0,1956,7
1956-10-01,0,1956,10
1957-01-01,0,1957,1
1957-04-01,0,1957,4
1957-07-01,0,1957,7
1957-10-01,1,1957,10
1958-01-01,1,1958,1
1958-04-01,1,1958,4
1958-07-01,0,1958,7
1958-10-01,0,1958,10
1959-01-01,0,1959,1
1959-04-01,0,1959,4
1959-07-01,0,1959,7
1959-10-01,0,1959,10
1960-01-01,0,1960,1
1960-04-01,0,1960,4
1960-07-01,1,1960,7
1960-10-01,1,1960,10
1961-01-01,1,1961,1
1961-04-01,0,1961,4
1961-07-01,0,1961,7
1961-10-01,0,1961,10
1962-01-01,0,1962,1
1962-04-01,0,1962,4
1962-07-01,0,1962,7
1962-10-01,0,1962,10
1963-01-01,0,1963,1
1963-04-01,0,1963,4
1963-07-01,0,1963,7
1963-10-01,0,1963,10
1964-01-01,0,1964,1
1964-04-01,0,1964,4
1964-07-01,0,1964,7
1964-10-01,0,1964,10
1965-01-01,0,1965,1
1965-04-01,0,1965,4
1965-07-01,0,1965,7
1965-10-01,0,1965,10
1966-01-01,0,1966,1
1966-04-01,0,1966,4
1966-07-01,0,1966,7
1966-10-01,0,1966,10
1967-01-01,0,1967,1
1967-04-01,0,1967,4
1967-07-01,0,1967,7
1967-10-01,0,1967,10
1968-01-01,0,1968,1
1968-04-01,0,1968,4
1968-07-01,0,1968,7
1968-10-01,0,1968,10
1969-01-01,0,1969,1
1969-04-01,0,1969,4
1969-07-01,0,1969,7
1969-10-01,0,1969,10
1970-01-01,1,1970,1
1970-04-01,1,1970,4
1970-07-01,1,1970,7
1970-10-01,1,1970,10
1971-01-01,0,1971,1
1971-04-01,0,1971,4
1971-07-01,0,1971,7
1971-10-01,0,1971,10
1972-01-01,0,1972,1
1972-04-01,0,1972,4
1972-07-01,0,1972,7
1972-10-01,0,1972,10
1973-01-01,0,1973,1
1973-04-01,0,1973,4
1973-07-01,0,1973,7
1973-10-01,0,1973,10
1974-01-01,1,1974,1
1974-04-01,1,1974,4
1974-07-01,1,1974,7
1974-10-01,1,1974,10
1975-01-01,1,1975,1
1975-04-01,0,1975,4
1975-07-01,0,1975,7
1975-10-01,0,1975,10
1976-01-01,0,1976,1
1976-04-01,0,1976,4
1976-07-01,0,1976,7
1976-10-01,0,1976,10
1977-01-01,0,1977,1
1977-04-01,0,1977,4
1977-07-01,0,1977,7
1977-10-01,0,1977,10
1978-01-01,0,1978,1
1978-04-01,0,1978,4
1978-07-01,0,1978,7
1978-10-01,0,1978,10
1979-01-01,0,1979,1
1979-04-01,0,1979,4
1979-07-01,0,1979,7
1979-10-01,0,1979,10
1980-01-01,0,1980,1
1980-04-01,1,1980,4
1980-07-01,1,1980,7
1980-10-01,0,1980,10
1981-01-01,0,1981,1
1981-04-01,0,1981,4
1981-07-01,0,1981,7
1981-10-01,1,1981,10
1982-01-01,1,1982,1
1982-04-01,1,1982,4
1982-07-01,1,1982,7
1982-10-01,1,1982,10
1983-01-01,0,1983,1
1983-04-01,0,1983,4
1983-07-01,0,1983,7
1983-10-01,0,1983,10
1984-01-01,0,1984,1
1984-04-01,0,1984,4
1984-07-01,0,1984,7
1984-10-01,0,1984,10
1985-01-01,0,1985,1
1985-04-01,0,1985,4
1985-07-01,0,1985,7
1985-10-01,0,1985,10
1986-01-01,0,1986,1
1986-04-01,0,1986,4
1986-07-01,0,1986,7
1986-10-01,0,1986,10
1987-01-01,0,1987,1
1987-04-01,0,1987,4
1987-07-01,0,1987,7
1987-10-01,0,1987,10
1988-01-01,0,1988,1
1988-04-01,0,1988,4
1988-07-01,0,1988,7
1988-10-01,0,1988,10
1989-01-01,0,1989,1
1989-04-01,0,1989,4
1989-07-01,0,1989,7
1989-10-01,0,1989,10
1990-01-01,0,1990,1
1990-04-01,0,1990,4
1990-07-01,0,1990,7
1990-10-01,1,1990,10
1991-01-01,1,1991,1
1991-04-01,0,1991,4
1991-07-01,0,1991,7
1991-10-01,0,1991,10
1992-01-01,0,1992,1
1992-04-01,0,1992,4
1992-07-01,0,1992,7
1992-10-01,0,1992,10
1993-01-01,0,1993,1
1993-04-01,0,1993,4
1993-07-01,0,1993,7
1993-10-01,0,1993,10
1994-01-01,0,1994,1
1994-04-01,0,1994,4
1994-07-01,0,1994,7
1994-10-01,0,1994,10
1995-01-01,0,1995,1
1995-04-01,0,1995,4
1995-07-01,0,1995,7
1995-10-01,0,1995,10
1996-01-01,0,1996,1
1996-04-01,0,1996,4
1996-07-01,0,1996,7
1996-10-01,0,1996,10
1997-01-01,0,1997,1
1997-04-01,0,1997,4
1997-07-01,0,1997,7
1997-10-01,0,1997,10
1998-01-01,0,1998,1
1998-04-01,0,1998,4
1998-07-01,0,1998,7
1998-10-01,0,1998,10
1999-01-01,0,1999,1
1999-04-01,0,1999,4
1999-07-01,0,1999,7
1999-10-01,0,1999,10
2000-01-01,0,2000,1
2000-04-01,0,2000,4
2000-07-01,0,2000,7
2000-10-01,0,2000,10
2001-01-01,0,2001,1
2001-04-01,1,2001,4
2001-07-01,1,2001,7
2001-10-01,1,2001,10
2002-01-01,0,2002,1
2002-04-01,0,2002,4
2002-07-01,0,2002,7
2002-10-01,0,2002,10
2003-01-01,0,2003,1
2003-04-01,0,2003,4
2003-07-01,0,2003,7
2003-10-01,0,2003,10
2004-01-01,0,2004,1
2004-04-01,0,2004,4
2004-07-01,0,2004,7
2004-10-01,0,2004,10
2005-01-01,0,2005,1
2005-04-01,0,2005,4
2005-07-01,0,2005,7
2005-10-01,0,2005,10
2006-01-01,0,2006,1
2006-04-01,0,2006,4
2006-07-01,0,2006,7
2006-10-01,0,2006,10
2007-01-01,0,2007,1
2007-04-01,0,2007,4
2007-07-01,0,2007,7
2007-10-01,0,2007,10
2008-01-01,1,2008,1
2008-04-01,1,2008,4
2008-07-01,1,2008,7
2008-10-01,1,2008,10
2009-01-01,1,2009,1
2009-04-01,1,2009,4
2009-07-01,0,2009,7
2009-10-01,0,2009,10
2010-01-01,0,2010,1
2010-04-01,0,2010,4
2010-07-01,0,2010,7
2010-10-01,0,2010,10
2011-01-01,0,2011,1
2011-04-01,0,2011,4
2011-07-01,0,2011,7
2011-10-01,0,2011,10
2012-01-01,0,2012,1
2012-04-01,0,2012,4
2012-07-01,0,2012,7
2012-10-01,0,2012,10
2013-01-01,0,2013,1
2013-04-01,0,2013,4
2013-07-01,0,2013,7
2013-10-01,0,2013,10
2014-01-01,0,2014,1
2014-04-01,0,2014,4
